Kim,Bloem
28.17142857,25.64285714
29.01428571,25.65714286
31.17142857,28.88571429
30.95714286,27.44285714
27.27142857,23.41428571
31.17142857,29.17142857
29.71428571,27.94285714
30.47142857,27.12857143
31.04285714,27.48571429
32.91428571,31.55714286
32.54285714,30.77142857
31.94285714,29.52857143
27.53333333,25.05
35.01428571,32.82857143
34.68571429,31.52857143
36.14285714,33.75714286
36.01428571,33.34285714
37.38571429,35.68571429
35.01428571,33.48571429
37.05714286,33.85714286
36.01428571,33.15714286
34.72857143,30.8
28.52857143,24.95714286
31.5,28.38571429
32.81428571,30.48571429
28.82857143,26.22857143
32.5,30.12857143
30.8,27.82857143
29.88571429,25.72857143
35.94285714,31.51428571
35.15714286,31.04285714
36.44285714,32.98571429
35.44285714,29.54285714
35.37142857,31.47142857
35.87142857,33.01428571
31.3,29.6
31.21428571,27.84285714
31.95714286,29.97142857
28.06666667,24.28333333
33.67142857,31.35714286
26.17142857,24.45714286
27.91428571,27.12857143
31.98571429,29.95714286
30.48571429,29.84285714
31.97142857,31.08571429
29.14285714,27.35714286
32.72857143,29.85714286
34.77142857,31.52857143
32.37142857,29.51428571
30.97142857,27.94285714
31.31428571,28.68571429
31.96666667,29.03333333
33.34285714,30.31428571
30.91428571,27.45714286
31.7,28.42857143
35.35714286,32.1
32.15714286,30.02857143
35.4,32.82857143
32.91428571,30.77142857
32.28571429,29.58571429
25.07142857,22.71428571
26.05714286,23.42857143
28.85714286,25.98571429
24.25714286,24.62857143
30.61666667,27.43333333
25.12857143,22.4
31.57142857,28.2
27.38571429,26.52857143
31.21428571,29.68571429
31.87142857,29.9
32.02857143,30.44285714
30.78571429,29.31428571
35.41428571,33.2
35.45714286,33.1
27.85714286,27.71428571
33.04285714,31.68571429
30.77142857,28.5
26.92857143,23.61428571
28.18571429,24.24285714
29.47142857,25.4
29.71428571,26.62857143
30.35714286,25.7
34.85714286,31.3
32.07142857,28.98571429
33.85714286,29.54285714
35.35714286,32.01428571
31.64285714,28.24285714
32.58571429,28.71428571
31.08571429,29.18571429
